a,b,c,d,e
7.55,-72.5310525247608,-0.000185321223264146,-0.000185321223075134,-72.5328777298389
7.5625,-78.086940627855,-0.000288694573896109,-0.000288694573532545,-78.5407402237934
7.575,-78.1098878270276,-6.64596035418886E-05,-6.64596034213468E-05,-78.3603048433892
7.5875,-75.9094471465542,2.37160514475981E-07,2.37160626337964E-07,-75.9000820077977
7.6,-74.5309868214396,-2.24085171583401E-05,-2.2408517269238E-05,-74.5288496108757
7.6125,-73.852362447088,-2.70657120591816E-05,-2.70657124478068E-05,-73.8697631026767
7.625,-73.673136401093,-1.86410628621782E-07,-1.86410639229384E-07,-73.6731364011011
7.6375,-73.8786735537274,3.04442840726936E-05,3.04442837872536E-05,-73.8507225149438
7.65,-74.3848591373975,4.44491066831422E-05,4.44491062549829E-05,-74.3487822280412
7.6625,-75.125737772739,3.98895787429853E-05,3.98895785520493E-05,-75.1056020383566
7.675,-76.0602994865839,2.54003953500336E-05,2.5400395259387E-05,-76.0637064444513
7.6875,-77.1771308267764,1.06251081905388E-05,1.0625108061319E-05,-77.1924169794301
7.7,-78.4935251433628,1.23909562367794E-06,1.2390957104674E-06,-78.4991560904452
7.7125,-80.0529242730328,-1.6771772276727E-06,-1.67717704637911E-06,-80.031340175123
7.725,-81.9251401103344,-5.64137982543329E-08,-5.64138320057945E-08,-81.8768038177063
7.7375,-84.2136779241707,3.13676686601191E-06,3.13676684865402E-06,-84.1690227484438
7.75,-87.0722058027867,5.35545311047702E-06,5.35545304104548E-06,-87.0998403202605
7.7625,-90.6894763831986,5.1581756066732E-06,5.15817560474455E-06,-90.8878910430425
7.775,-94.7281246013416,2.27711097022681E-06,2.27711097408412E-06,-95.001933376052
7.7875,-95.701076693889,-2.67397814577503E-06,-2.67397811877385E-06,-95.3405474694181
7.8,-92.8956078736264,-8.61721067555251E-06,-8.61721060129922E-06,-92.4020131832804
7.8125,-90.203917128132,-1.43959140258576E-05,-1.43959139149598E-05,-89.8959760207936
7.825,-88.2325137199224,-1.90495879818563E-05,-1.90495878863877E-05,-88.1184403462226
7.8375,-86.7933209964032,-2.19599450625609E-05,-2.19599449294834E-05,-86.8384378060087
7.85,-85.7223459253608,-2.2885192977118E-05,-2.28851928652557E-05,-85.8849069493077
7.8625,-84.9171505347889,-2.19154403349649E-05,-2.191544019803E-05,-85.1532053578458
7.875,-84.3154058151111,-1.93842261189021E-05,-1.93842259973966E-05,-84.5810358416606
7.8875,-83.8789830714416,-1.57657305597238E-05,-1.57657304353253E-05,-84.1331725548606
7.9,-83.584363300824,-1.1578732087061E-05,-1.15787318411571E-05,-83.7928799680219
7.9125,-83.4167020314491,-7.3097420659936E-06,-7.30974173619333E-06,-83.5566979984984
7.925,-83.3659279879059,-3.36049993810032E-06,-3.36049965651659E-06,-83.4303223548035
7.9375,-83.4240770017677,-1.97413387229834E-08,-1.97413474019307E-08,-83.4240770017615
7.95,-83.5834984695842,2.54415086701173E-06,2.54415109266429E-06,-83.5473469942199
7.9625,-83.8357564909022,4.27463910713035E-06,4.27463908591516E-06,-83.8026212700969
7.975,-84.1710852997543,5.20808820415883E-06,5.20808812122672E-06,-84.1810286031927
7.9875,-84.5782305772967,5.44939300448822E-06,5.44939320892552E-06,-84.6613295500254
8,-85.044481176178,5.1462928775233E-06,5.14629286788003E-06,-85.2127948101133
8.0125,-85.5557099299469,4.46542201228941E-06,4.46542212415134E-06,-85.8004457736804
8.025,-86.096307223316,3.57209082045122E-06,3.57209101138798E-06,-86.3903998839616
8.0375,-86.6489974916361,2.61483455075391E-06,2.61483469347433E-06,-86.9537787621736
8.05,-87.1946633702065,1.71502464629644E-06,1.71502488352095E-06,-87.4687679895376
8.0625,-87.7124467371408,9.61270040129724E-07,9.61269974555463E-07,-87.9211182297007
8.075,-88.1805037711878,4.07963654786646E-07,4.07963953728147E-07,-88.3035685594076
8.0875,-88.5777588568377,7.71377359725486E-08,7.7137728257929E-08,-88.614629089244
8.1,-88.8866954924046,-3.72937823876382E-08,-3.72936695613241E-08,-88.8570792327928
8.1125,-89.0966246675339,3.62151096361779E-08,3.62151366373469E-08,-89.0364641447083
8.125,-89.2062818217797,2.53299539002315E-07,2.53299544788279E-07,-89.1597892110488
8.1375,-89.224565024119,5.60196081261384E-07,5.60196229767804E-07,-89.2345188333224
8.15,-89.1689900535844,8.99795572854943E-07,8.99795468707588E-07,-89.2678998972209
8.1625,-89.0625184816615,1.2168789125497E-06,1.21687875632867E-06,-89.2665710933704
8.175,-88.9300001004195,1.46231997400364E-06,1.46231998943288E-06,-89.2363919667025
8.1875,-88.7952635945336,1.59615384473091E-06,1.59615380615781E-06,-89.1824234324754
8.2,-88.6792749553143,1.58951338286659E-06,1.58951341179641E-06,-89.1090034492942
8.2125,-88.5992730865545,1.42551228153929E-06,1.42551224682351E-06,-89.0198782742649
8.225,-88.5685858456371,1.09920153254459E-06,1.09920151711535E-06,-88.9183657633439
8.2375,-88.5968480793574,6.16764847745421E-07,6.16764670309179E-07,-88.8075403530617
8.25,-88.690439480252,-5.87138782127385E-09,-5.87137914232665E-09,-88.6904394802023
8.2625,-88.8530423707833,-7.44831384729471E-07,-7.44831585309602E-07,-88.5702988737589
8.275,-89.0862618855767,-1.57032269252721E-06,-1.57032284681963E-06,-88.4508299754987
8.2875,-89.3902635462563,-2.44874883533673E-06,-2.44874888162446E-06,-88.3365566555867
8.3,-89.7643843151268,-3.34477996423017E-06,-3.34478007898518E-06,-88.2332289955831
8.3125,-90.2076750488313,-4.22327337768255E-06,-4.22327359947798E-06,-88.1483254651412
8.325,-90.7193371354961,-5.05096651330568E-06,-5.05096674860172E-06,-88.0916338297039
8.3375,-91.2990185461376,-5.79788929344967E-06,-5.79788955671124E-06,-88.075853293236
8.35,-91.9469244516212,-6.43846560488428E-06,-6.43846578907096E-06,-88.1170704310138
8.3625,-92.6636605806657,-6.95229270335485E-06,-6.95229290393513E-06,-88.2348217535569
8.375,-93.4496411233233,-7.32460684311234E-06,-7.32460709673067E-06,-88.4512927851972
8.3875,-94.3037191802292,-7.54645418196828E-06,-7.54645435458305E-06,-88.7891147966892
8.4,-95.2203805072585,-7.61459814002973E-06,-7.614598278893E-06,-89.2673717822996
8.4125,-96.1843522377638,-7.53120079173583E-06,-7.53120095952896E-06,-89.8959229372496
8.425,-97.1610769901527,-7.30332089425493E-06,-7.3033210601194E-06,-90.6687732600616
8.4375,-98.0826420804896,-6.94227103014769E-06,-6.94227114779573E-06,-91.5575106952282
8.45,-98.8356392251289,-6.46287790552311E-06,-6.46287801352787E-06,-92.5058256126943
8.4625,-99.2734746881479,-5.88268644572826E-06,-5.88268657012659E-06,-93.4273717759916
8.475,-99.2793620806853,-5.22114495739276E-06,-5.22114507986243E-06,-94.2133547278504
8.4875,-98.8472795249478,-4.49880461977267E-06,-4.49880470752652E-06,-94.7587802853955
8.5,-98.0867591424377,-3.73656081313039E-06,-3.73656089509826E-06,-95.0034904394669
8.5125,-97.1449754250218,-2.95495928739349E-06,-2.95495935200345E-06,-94.9582039855591
8.525,-96.1392822666962,-2.17358378265005E-06,-2.17358383375942E-06,-94.6894381039686
8.5375,-95.1410179526965,-1.41053735706393E-06,-1.41053739949435E-06,-94.2798755165103
8.55,-94.1865882663731,-6.8202430061973E-07,-6.82024338228504E-07,-93.7985353783897
8.5625,-93.2917596851358,-2.03519383184982E-09,-2.03522083301888E-09,-93.2917596851844
8.575,-92.4615787046523,6.17866217638625E-07,6.17866200280732E-07,-92.7864882512456
8.5875,-91.6960321663098,1.16865883511165E-06,1.16865882161107E-06,-92.2965647615044
8.6,-90.9930052591861,1.64389003386516E-06,1.64389003965112E-06,-91.8280218523221
8.6125,-90.3497460664858,2.03962085232553E-06,2.03962085232553E-06,-91.382602109334
8.625,-89.7635486007831,2.35430114344808E-06,2.35430114730539E-06,-90.9598772248487
8.6375,-89.2320357163038,2.58858656016241E-06,2.58858656401972E-06,-90.5584609820118
8.65,-88.753239100243,2.74510933253792E-06,2.7451093460385E-06,-90.176687587812
8.6625,-88.3255774063652,2.82821497172546E-06,2.828214991012E-06,-89.8129906401798
8.675,-87.9477847892669,2.84367639539299E-06,2.84367640889357E-06,-89.4661219042372
8.6875,-87.6188176919693,2.79839668391879E-06,2.79839669741937E-06,-89.1352898542946
8.7,-87.3377556484474,2.7001102493987E-06,2.70011025904197E-06,-88.8202631804549
8.7125,-87.103705814874,2.55709130463397E-06,2.5570913162059E-06,-88.5214639137181
8.725,-86.9157176691162,2.37787739294443E-06,2.37787740837366E-06,-88.2400616050923
8.7375,-86.7727121209076,2.17101407909636E-06,2.17101410416886E-06,-87.9780696166272
8.75,-86.6734273321749,1.94482589875146E-06,1.94482591803801E-06,-87.7384340361224
8.7625,-86.6163815571082,1.70721709972146E-06,1.7072170977928E-06,-87.5250930957754
8.775,-86.5998512917921,1.46550458585035E-06,1.4655046089942E-06,-87.3429697425151
8.7875,-86.6218611609067,1.22628453124561E-06,1.22628454667484E-06,-87.1978441212592
8.8,-86.6801805009815,9.95332097856344E-07,9.95332101713654E-07,-87.0960421489626
8.8125,-86.7723207234959,7.77534368286564E-07,7.77534366357909E-07,-87.0438819176751
8.825,-86.895527371998,5.76854167912494E-07,5.76854148625946E-07,-87.046854832837
8.8375,-87.0467613665916,3.96322691452289E-07,3.9632268759498E-07,-87.1085911623714
8.85,-87.2226652740811,2.38058473044412E-07,2.38058467258447E-07,-87.2297596345305
8.8625,-87.4195126153775,1.03308692104379E-07,1.03308682461105E-07,-87.4071407773777
8.875,-87.6331413869975,-7.48980221606807E-09,-7.4897954657758E-09,-87.6331413870066
8.8875,-87.8588773986591,-9.46340797229299E-08,-9.46340951521696E-08,-87.8959490612426
8.9,-88.0914589883636,-1.59066513308905E-07,-1.59066517166215E-07,-88.1803776402861
8.9125,-88.3249821896799,-2.02277784009131E-07,-2.02277795581061E-07,-88.4692871868647
8.925,-88.5528937857573,-2.26205059573105E-07,-2.26205060537432E-07,-88.7453363204071
8.9375,-88.7680668126857,-2.33128199041468E-07,-2.33128195184158E-07,-88.9927642547649
8.95,-88.9629949913014,-2.25567324730374E-07,-2.25567319908737E-07,-89.1988991206066
8.9625,-89.1301336561132,-2.06184157020038E-07,-2.06184130983196E-07,-89.3551429670357
8.975,-89.2623898040715,-1.77689307726802E-07,-1.77689290368907E-07,-89.4572947475424
8.9875,-89.3537223881451,-1.42757645868512E-07,-1.42757636225237E-07,-89.5052263001414
9,-89.3997650540104,-1.03952972093138E-07,-1.03952981736413E-07,-89.5020750468337
9.0125,-89.3983470340504,-6.36632042874714E-08,-6.36632023588165E-08,-89.4532024023577
9.025,-89.349786901531,-2.40468332907144E-08,-2.40468342550419E-08,-89.3651617064217
9.0375,-89.2568793730812,1.3009034025168E-08,1.30090455970976E-08,-89.2448450110218
9.05,-89.1245743505328,4.59190616686808E-08,4.59190635973357E-08,-89.0988816596654
9.0625,-88.9594268269787,7.34185197604342E-08,7.34185332610187E-08,-88.9332835088445
9.075,-88.7689428114356,9.45715227698034E-08,9.45715362703878E-08,-88.7532882128789
9.0875,-88.56094653156,1.08768945591936E-07,1.08768943663281E-07,-88.5633394550281
9.1,-88.3430584427874,1.15717297129065E-07,1.15717312558304E-07,-88.3671492813557
9.1125,-88.1223249279578,1.15419545598489E-07,1.15419557170418E-07,-88.1678014465015
9.125,-87.9049990328412,1.08148975614121E-07,1.08148992972015E-07,-87.9678687907593
9.1375,-87.6964464718662,9.44175756060627E-08,9.44176064645413E-08,-87.7695289849015
9.15,-87.5011420492386,7.4940033695513E-08,7.49400587680269E-08,-87.5746708423105
9.1625,-87.3227233642625,5.05947827291959E-08,5.05947865865057E-08,-87.3849882905344
9.175,-87.1640755231157,2.23833654558001E-08,2.23833712417649E-08,-87.2020618178465
9.1875,-87.0274285008459,-8.61076442972508E-09,-8.61075767943281E-09,-87.027428500886
9.2,-86.9144556489784,-4.1262683281901E-08,-4.12626736386263E-08,-86.8626421271636
9.2125,-86.826366900744,-7.44449167936874E-08,-7.44449187223424E-08,-86.7093248163335
9.225,-86.763993542688,-1.0706358588189E-07,-1.07063595525165E-07,-86.5692111393518
9.2375,-86.7278633658088,-1.3809136065084E-07,-1.38091377044407E-07,-86.444185162378
9.25,-86.7182659963681,-1.66596200246917E-07,-1.66596196389607E-07,-86.3363101745513
9.2625,-86.7353085816443,-1.91765698274162E-07,-1.91765715632056E-07,-86.2478501425298
9.275,-86.7789620127637,-2.1292648892534E-07,-2.12926500497269E-07,-86.181281213996
9.2875,-86.8490976531544,-2.29558505533042E-07,-2.29558532534212E-07,-86.139290923077
9.3,-86.9455141782162,-2.413041117911E-07,-2.41304133970633E-07,-86.1247622063341
9.3125,-87.0679536334234,-2.47972053572115E-07,-2.47972081537612E-07,-86.1407390027557
9.325,-87.2161051567247,-2.4953648110158E-07,-2.49536522567662E-07,-86.1903701540087
9.3375,-87.3895939289797,-2.4613132692938E-07,-2.46131352966223E-07,-86.2768285462113
9.35,-87.5879517348461,-2.38040218099264E-07,-2.38040254743708E-07,-86.4032028081121
9.3625,-87.8105639502144,-2.25682823198371E-07,-2.25682857914161E-07,-86.5723590475548
9.375,-88.0565857559909,-2.09597686360826E-07,-2.09597727826908E-07,-86.7867694267055
9.3875,-88.3248179313125,-1.90422415156214E-07,-1.90422456622296E-07,-87.0483019211836
9.4,-88.6135299432929,-1.68871809638831E-07,-1.68871853033568E-07,-87.3579603074725
9.4125,-88.920215961258,-1.45714446544681E-07,-1.45714487046435E-07,-87.7155544274831
9.425,-89.2412696091129,-1.21748556637152E-07,-1.21748598103234E-07,-88.1192682365386
9.4375,-89.5715692388924,-9.7777646506902E-08,-9.77776899016385E-08,-88.5650797572467
9.45,-89.9039835104011,-7.45866324307329E-08,-7.45866719681594E-08,-89.0459811814258
9.4625,-90.2288464355902,-5.29189520596326E-08,-5.29189944900414E-08,-89.5509684633863
9.475,-90.5335216485187,-3.34553164288162E-08,-3.345535693057E-08,-90.0638556128634
9.4875,-90.8022777742644,-1.67944484830905E-08,-1.67944899491717E-08,-90.5621758510238
9.5,-91.0167989848217,-3.43638574937974E-09,-3.43642432247841E-09,-91.0167989848632
9.5125,-91.1576673639546,6.23146480008271E-09,6.23142429832914E-09,-91.3933210256427
9.525,-91.2069382469038,1.19450741749537E-08,1.19450356018551E-08,-91.6563299557899
9.5375,-91.1514142793376,1.35712407946182E-08,1.35712041501745E-08,-91.7765904097278
9.55,-90.9856058297685,1.11115982320982E-08,1.11115615876545E-08,-91.7388881531396
9.5625,-90.7131450466912,4.7030944846847E-09,4.70306555486071E-09,-91.5464708123595
9.575,-90.3459810370992,-5.3849839398116E-09,-5.38501190530814E-09,-91.2192910110638
9.5875,-89.901743604987,-1.87573910476151E-08,-1.87574190131117E-08,-90.787219147267
9.6,-89.4004296065839,-3.49024624126904E-08,-3.49024836278948E-08,-90.2821916821138
9.6125,-88.8615526535326,-5.32046504669113E-08,-5.32046707177882E-08,-89.7325975655183
9.625,-88.3023350939664,-7.29597116907829E-08,-7.29597329059873E-08,-89.1607890771302
9.6375,-87.7369401376573,-9.33922168694062E-08,-9.33922274770084E-08,-88.5829091585826
9.65,-87.17643987493,-1.13674950466648E-07,-1.13674963002905E-07,-88.0098638517736
9.6625,-86.6291767053704,-1.32949863531818E-07,-1.32949878961058E-07,-87.4486030056274
9.675,-86.1012644810899,-1.50350038186984E-07,-1.50350052651896E-07,-86.9032933099976
9.6875,-85.5970833837138,-1.65022155494383E-07,-1.65022163209003E-07,-86.3762463168556
9.7,-85.1197032895805,-1.76149144618482E-07,-1.76149147511465E-07,-85.8685989643159
9.7125,-84.6712180982239,-1.82972326681296E-07,-1.82972329574278E-07,-85.3807918341839
9.725,-84.2529967961269,-1.84812769798364E-07,-1.84812777512984E-07,-84.9128973572088
9.7375,-83.8658658505084,-1.81091218838832E-07,-1.81091213052867E-07,-84.4648423202226
9.75,-83.510239017733,-1.71346267216176E-07,-1.71346269144831E-07,-84.0365580029085
9.7625,-83.1862089882846,-1.55250481410852E-07,-1.55250477553542E-07,-83.6280813682868
9.775,-82.8936126112894,-1.32623740513901E-07,-1.32623736656591E-07,-83.2396230070408
9.7875,-82.6320787090343,-1.03444014515127E-07,-1.034440135508E-07,-82.8716118599046
9.8,-82.4010650736838,-6.78548253028682E-08,-6.78548272315232E-08,-82.5247226711246
9.8125,-82.1998892338201,-2.61695032016078E-08,-2.61694964513155E-08,-82.1998892338269
9.825,-82.0277559818439,2.11281081103515E-08,2.11281061816966E-08,-81.8983044668825
9.8375,-81.8837834264371,7.33863324385276E-08,7.33863362958375E-08,-81.6214070347591
9.85,-81.767028432868,1.29792175112672E-07,1.29792169326707E-07,-81.3708535205564
9.8625,-81.6765116938609,1.8938106173868E-07,1.89381055952716E-07,-81.1484750996413
9.875,-81.6112422908004,2.51050293468254E-07,2.5105027611036E-07,-80.9562182798642
9.8875,-81.5702414138202,3.13575481074984E-07,3.13575484932294E-07,-80.7960705873307
9.9,-81.5525648639023,3.75630371532505E-07,3.75630361889231E-07,-80.6699739980122
9.9125,-81.5573240161415,4.35809041049586E-07,4.35809021763038E-07,-80.5797311997795
9.925,-81.5837050408965,4.9265077664689E-07,4.92650763146306E-07,-80.5269119912544
9.9375,-81.630986325533,5.44666961602524E-07,5.44666959673869E-07,-80.5127687269175
9.95,-81.6985541890822,5.90369509603682E-07,5.90369492245788E-07,-80.5381701475459
9.9625,-81.7859171190844,6.28300533233775E-07,6.28300513947227E-07,-80.6035618268015
9.975,-81.8927188755975,6.57062621911347E-07,6.57062627697311E-07,-80.7089588181883
9.9875,-82.0187508994384,6.75349534487396E-07,6.7534949977161E-07,-80.8539723353361
10,-82.1639645321796,6.81976091449622E-07,6.81976070234419E-07,-81.0378682199322
10.0125,-82.3284836088422,6.75907748898575E-07,6.75907745041265E-07,-81.2596514336828
10.025,-82.5126180261285,6.56288349946404E-07,6.56288319087927E-07,-81.5181685720755
10.0375,-82.7168789244386,6.22466130685886E-07,6.22466090184136E-07,-81.8122197817854
10.05,-82.941996153864,5.74017392491485E-07,5.74017361633008E-07,-82.1406723871582
10.0625,-83.188938722,5.1076710197894E-07,5.10767074977772E-07,-82.5025705869702
10.075,-83.4589389371079,4.32806264332038E-07,4.32806239259525E-07,-82.8972382264124
10.0875,-83.7535209439908,3.40505639907176E-07,3.40505624477937E-07,-83.3243743831668
10.1,-84.0745342596362,2.34525119443434E-07,2.34525080870337E-07,-83.7841439969734
10.1125,-84.4241926670756,1.15818952671924E-07,1.15818921813446E-07,-84.2772678849467
10.125,-84.8051182551242,-1.43638938864173E-08,-1.43639131729667E-08,-84.805118255146
10.1375,-85.2203891808592,-1.54484111072968E-07,-1.54484138074138E-07,-85.3698273948643
10.15,-85.6735872619707,-3.02721476245242E-07,-3.02721514818342E-07,-85.9744187129024
10.1625,-86.1688365624763,-4.56989353828481E-07,-4.56989382758307E-07,-86.6229707702195
10.175,-86.7108143101075,-6.14954195907663E-07,-6.14954243159712E-07,-87.3208259367908
10.1875,-87.3046959672827,-7.74060028398047E-07,-7.74060050577581E-07,-88.0748543376111
10.2,-87.9559574348216,-9.31557751147048E-07,-9.31557755004358E-07,-88.8937762803532
10.2125,-88.669880084111,-1.08453908031999E-06,-1.08453911985743E-06,-89.7885197717646
10.225,-89.4504521148094,-1.22997483798803E-06,-1.2299748649892E-06,-90.7725089391698
10.2375,-90.2980705323972,-1.36475687917488E-06,-1.3647568868895E-06,-91.8615452243814
10.25,-91.2049514609115,-1.48574406716711E-06,-1.48574408548934E-06,-93.0722728939124
10.2625,-92.1465402964562,-1.58981076959302E-06,-1.58981080141583E-06,-94.4163108884368
10.275,-93.0674487829494,-1.67389822724864E-06,-1.67389824557086E-06,-95.8819378234674
10.2875,-93.865250016274,-1.73506751793462E-06,-1.73506754204282E-06,-97.3839305838363
10.3,-94.3911221326667,-1.77055406515562E-06,-1.7705540747989E-06,-98.6601876998478
10.3125,-94.5018832701993,-1.77782235801238E-06,-1.77782235029776E-06,-99.2184225288859
10.325,-94.1548059957883,-1.75462095749895E-06,-1.75462095171299E-06,-98.7018634898581
10.3375,-93.4438356131081,-1.69903627327555E-06,-1.69903629352643E-06,-97.3681221673
10.35,-92.527091666937,-1.60954497301178E-06,-1.60954497494043E-06,-95.7299157756692
10.3625,-91.5406670438809,-1.4850637195582E-06,-1.48506372630849E-06,-94.096603927817
10.375,-90.5696505308567,-1.32499612600649E-06,-1.32499610479128E-06,-92.578358451896
10.3875,-89.6575665488492,-1.12927549660617E-06,-1.12927547828394E-06,-91.1964266408796
10.4,-88.8228211038264,-8.98403238778411E-07,-8.98403234921101E-07,-89.9426787421317
10.4125,-88.0706026506162,-6.33481735028902E-07,-6.33481716706679E-07,-88.8021463572424
10.425,-87.3996981743131,-3.36241401854151E-07,-3.36241389317893E-07,-87.7604728206092
10.4375,-86.8060358938787,-9.06109474946144E-09,-9.06110149975371E-09,-86.8060358938234
10.45,-86.2844395012024,3.45018464691279E-07,3.45018497478411E-07,-85.9303007481911
10.4625,-85.8294682061574,7.22289302265805E-07,7.22289313837734E-07,-85.1276290819809
10.475,-85.4358042620568,1.11837818081228E-06,1.11837819238421E-06,-84.3949441884479
10.4875,-85.0984213281477,1.52825766225627E-06,1.528257652613E-06,-83.7313593709774
10.5,-84.8126491398008,1.94626533075182E-06,1.94626533846644E-06,-83.137774170485
10.5125,-84.5741906705022,2.36613222512388E-06,2.36613223283849E-06,-82.6164123223083
10.525,-84.3791185124775,2.7810198441385E-06,2.78101986921101E-06,-82.1702788930103
10.5375,-84.2238627407347,3.18356624724793E-06,3.18356624724793E-06,-81.8025390449043
10.55,-84.1051955754527,3.56594079177318E-06,3.56594081491703E-06,-81.5158592214592
10.5625,-84.0202149494228,3.91990763379897E-06,3.91990763765627E-06,-81.3117905719669
10.575,-83.9663277104287,4.23689702458284E-06,4.23689704001207E-06,-81.1902962525179
10.5875,-83.9412326729168,4.50808481712868E-06,4.50808483834387E-06,-81.1495131360761
10.6,-83.9429035905336,4.72447894665152E-06,4.72447896208075E-06,-81.185791949417
10.6125,-83.9695721118561,4.87701253006084E-06,4.87701254549007E-06,-81.2939939941362
10.625,-84.0197107954666,4.95664291522507E-06,4.95664294029757E-06,-81.467964673709
10.6375,-84.0920162517943,4.95445563855661E-06,4.95445566362911E-06,-81.7010764756728
10.65,-84.185392432756,4.86177260240729E-06,4.86177264098036E-06,-81.9867422505667
10.6625,-84.2989340030843,4.67026317624535E-06,4.67026319746054E-06,-82.3188323243031
10.675,-84.4319095984035,4.37205752154601E-06,4.37205751576005E-06,-82.6919683386951
10.6875,-84.5837446005983,3.95986061486954E-06,3.95986065344262E-06,-83.1016987237012
10.7,-84.7540028307159,3.42706608777677E-06,3.42706610127735E-06,-83.5445795661613
10.7125,-84.9423662552857,2.76786834842184E-06,2.76786836770838E-06,-84.0181913547907
10.725,-85.1486113951309,1.97737191061227E-06,1.97737195497132E-06,-84.5211207996128
10.7375,-85.3725805758642,1.05169669990593E-06,1.05169674233633E-06,-85.0529319640928
10.75,-85.6141454115316,-1.19225783602102E-08,-1.19225590736609E-08,-85.6141454115707
10.7625,-85.8731588978885,-1.21504330993529E-06,-1.21504327329084E-06,-86.2062396742246
10.775,-86.1493911297221,-2.55793035815279E-06,-2.55793032054401E-06,-86.8316868235324
10.7875,-86.4424418732485,-4.03948075774657E-06,-4.03948070663719E-06,-87.4940334359443
10.8,-86.7516209937678,-5.6571589802012E-06,-5.65715891944853E-06,-88.1980397665766
10.8125,-87.0757851795136,-7.40694399340116E-06,-7.40694395868534E-06,-88.9498933090947
10.825,-87.4131169807891,-9.28328950711644E-06,-9.28328944250643E-06,-89.7575176073898
10.8375,-87.7608310944878,-1.12790977090812E-05,-1.12790976521858E-05,-90.6310012528757
10.85,-88.1147956439642,-1.33857084222975E-05,-1.33857083615447E-05,-91.5831687318068
10.8625,-88.4690678070436,-1.5592903473404E-05,-1.55929034020436E-05,-92.6302821255296
10.875,-88.8153714910687,-1.7888927788117E-05,-1.78889277476151E-05,-93.7927291911348
10.8875,-89.1426000675616,-2.02605275561764E-05,-2.02605274886733E-05,-95.09508478809
10.9,-89.4365159843558,-2.26930051698584E-05,-2.26930051206776E-05,-96.5633447350831
